File,Dir,Datetime,Camera,SeqNum,SeqLen,SeqNumDiff,Night,Mean,Std,NumObj,Size,X,Y
IMG_2592.JPG,D:\Photo_Set_1\,2016:11:30 12:12:51,CAM74,,,,,,,1.0,241281.0,899.0,516.0
IMG_2593.JPG,D:\Photo_Set_1\,2016:11:30 12:12:53,CAM74,1,3,1|0,0,11.4,30.82,3.0,,,
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,3.0,143970.0,850.0,541.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,3.0,33910.0,1699.0,542.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,3.0,10356.0,45.0,548.0
IMG_2594.JPG,D:\Photo_Set_1\,2016:11:30 12:12:54,CAM74,2,3,2|1,0,11.75,31.22,4.0,,,
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,4.0,86423.0,1653.0,534.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,4.0,23460.0,149.0,542.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,4.0,49774.0,549.0,545.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,4.0,36163.0,1017.0,554.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,3,3,0|2,0,12.15,31.94,3.0,,,
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,3.0,150023.0,1417.0,540.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,3.0,46301.0,224.0,532.0
IMG_2595.JPG,D:\Photo_Set_1\,2016:11:30 12:12:55,CAM74,,,,,,,3.0,11007.0,531.0,554.0
IMG_2596.JPG,D:\Photo_Set_1\,2016:11:30 12:12:57,CAM74,1,3,1|0,0,11.24,30.22,4.0,,,
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,23349.0,258.0,516.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,36815.0,773.0,547.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,57242.0,1359.0,566.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,16668.0,1897.0,579.0
IMG_2597.JPG,D:\Photo_Set_1\,2016:11:30 12:12:58,CAM74,2,3,2|1,0,11.92,31.77,4.0,,,
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,92588.0,1496.0,557.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,34144.0,100.0,521.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,32310.0,404.0,523.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,4.0,18047.0,809.0,540.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,3,3,0|2,0,13.79,35.18,2.0,,,
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,2.0,81987.0,251.0,524.0
IMG_2598.JPG,D:\Photo_Set_1\,2016:11:30 12:12:59,CAM74,,,,,,,2.0,130594.0,1288.0,556.0
IMG_2599.JPG,D:\Photo_Set_1\,2016:11:30 12:13:01,CAM74,1,3,1|0,0,9.52,27.1,3.0,,,
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,3.0,53021.0,688.0,554.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,3.0,32822.0,1768.0,578.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,3.0,23045.0,1340.0,562.0
IMG_2600.JPG,D:\Photo_Set_1\,2016:11:30 12:13:02,CAM74,2,3,2|1,0,9.6,27.19,6.0,,,
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,6.0,29338.0,797.0,547.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,6.0,16413.0,1067.0,527.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,6.0,22095.0,1424.0,564.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,6.0,18028.0,145.0,573.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,6.0,14131.0,530.0,577.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,6.0,13635.0,1706.0,582.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,3,3,0|2,0,11.38,31.42,4.0,,,
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,4.0,85535.0,766.0,544.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,4.0,21529.0,1845.0,571.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,4.0,42482.0,1445.0,562.0
IMG_2601.JPG,D:\Photo_Set_1\,2016:11:30 12:13:03,CAM74,,,,,,,4.0,21569.0,138.0,574.0
IMG_2602.JPG,D:\Photo_Set_1\,2016:11:30 12:13:04,CAM74,1,3,1|0,0,7.98,23.95,5.0,,,
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,31213.0,1257.0,546.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,19633.0,1675.0,565.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,13983.0,1924.0,579.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,17596.0,875.0,583.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,27121.0,440.0,581.0
IMG_2603.JPG,D:\Photo_Set_1\,2016:11:30 12:13:05,CAM74,2,3,2|1,0,9.24,27.33,5.0,,,
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,23038.0,1279.0,533.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,16021.0,1505.0,530.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,33165.0,1825.0,567.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,23531.0,969.0,580.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,5.0,31623.0,558.0,578.0
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,3,3,0|2,0,10.64,30.48,1.0,,,
IMG_2604.JPG,D:\Photo_Set_1\,2016:11:30 12:13:06,CAM74,,,,,,,1.0,154014.0,1145.0,560.0
IMG_2605.JPG,D:\Photo_Set_1\,2016:11:30 12:13:08,CAM74,1,3,1|0,0,7.53,22.39,5.0,,,
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,5.0,22546.0,1657.0,554.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,5.0,22539.0,129.0,571.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,5.0,14086.0,1955.0,570.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,5.0,21562.0,879.0,585.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,5.0,17415.0,1207.0,587.0
IMG_2606.JPG,D:\Photo_Set_1\,2016:11:30 12:13:09,CAM74,2,3,2|1,0,8.56,25.38,3.0,,,
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,3.0,26163.0,1723.0,549.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,3.0,38594.0,202.0,574.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,3.0,47158.0,1103.0,586.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,3,3,0|2,0,9.81,28.53,3.0,,,
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,3.0,48194.0,1773.0,548.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,3.0,37759.0,199.0,572.0
IMG_2607.JPG,D:\Photo_Set_1\,2016:11:30 12:13:10,CAM74,,,,,,,3.0,54229.0,1076.0,585.0
IMG_2608.JPG,D:\Photo_Set_1\,2016:11:30 12:13:11,CAM74,1,3,1|0,0,6.8,20.37,3.0,,,
IMG_2610.JPG,D:\Photo_Set_1\,2016:11:30 12:13:13,CAM74,,,,,,,3.0,15599.0,1924.0,567.0
